Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Middlesex,Gloucs,Gloucs,2 runs,Radlett,"Jun 17, 2021",T20
Surrey,Sussex,no result,-,The Oval,"Jun 17, 2021",T20
Derbyshire,Northants,Derbyshire,5 wickets,Derby,"Jun 17, 2021",T20
Durham,Lancashire,Durham,6 wickets,Chester-le-Street,"Jun 17, 2021",T20
Glamorgan,Middlesex,Glamorgan,21 runs,Cardiff,"Jun 18, 2021",T20
Notts,Derbyshire,Notts,2 runs,Nottingham,"Jun 18, 2021",T20
Durham,Bears,Durham,22 runs,Chester-le-Street,"Jun 20, 2021",T20
Kent,Essex,Kent,67 runs,Canterbury,"Jun 20, 2021",T20
Lancashire,Notts,tied,-,Manchester,"Jun 20, 2021",T20
Northants,Leics,Leics,34 runs,Northampton,"Jun 20, 2021",T20
Yorkshire,Derbyshire,Yorkshire,39 runs,Leeds,"Jun 20, 2021",T20
Surrey,Essex,Essex,8 wickets,The Oval,"Jun 21, 2021",T20
Notts,WORCS,Notts,10 wickets,Nottingham,"Jun 22, 2021",T20
Gloucs,Kent,Gloucs,8 wickets,Bristol,"Jun 22, 2021",T20
Derbyshire,Leics,Leics,42 runs,Derby,"Jun 22, 2021",T20
Durham,Northants,Northants,9 wickets,Chester-le-Street,"Jun 23, 2021",T20
Surrey,Somerset,Somerset,7 wickets,The Oval,"Jun 23, 2021",T20
Yorkshire,WORCS,Yorkshire,12 runs,Leeds,"Jun 23, 2021",T20
Middlesex,Essex,Essex,2 wickets,Lord's,"Jun 24, 2021",T20
Bears,Derbyshire,Derbyshire,5 wickets,Birmingham,"Jun 24, 2021",T20
Gloucs,Glamorgan,Gloucs,34 runs,Bristol,"Jun 24, 2021",T20
WORCS,Durham,WORCS,8 wickets,Worcester,"Jun 25, 2021",T20
Leics,Yorkshire,Leics,34 runs,Leicester,"Jun 25, 2021",T20
Northants,Lancashire,Northants,7 wickets,Northampton,"Jun 25, 2021",T20
Somerset,Hampshire,Somerset,7 runs,Taunton,"Jun 25, 2021",T20
Surrey,Middlesex,Surrey,5 wickets,The Oval,"Jun 25, 2021",T20
Derbyshire,Notts,tied,-,Derby,"Jun 25, 2021",T20
Essex,Kent,Kent,28 runs,Chelmsford,"Jun 25, 2021",T20
Sussex,Gloucs,Gloucs,27 runs,Hove,"Jun 25, 2021",T20
Bears,Durham,Durham,34 runs,Birmingham,"Jun 26, 2021",T20
Notts,Lancashire,Notts,7 runs,Nottingham,"Jun 26, 2021",T20
Yorkshire,Northants,Yorkshire,82 runs,Leeds,"Jun 26, 2021",T20
Middlesex,Glamorgan,Middlesex,7 wickets,Radlett,"Jun 27, 2021",T20
Sussex,Surrey,no result,-,Hove,"Jun 27, 2021",T20
WORCS,Leics,WORCS,7 wickets,Worcester,"Jun 27, 2021",T20
Kent,Somerset,Somerset,10 wickets,Canterbury,"Jun 28, 2021",T20
Glamorgan,Surrey,Glamorgan,1 run,Cardiff,"Jun 29, 2021",T20
Leics,Northants,Northants,5 wickets,Leicester,"Jun 29, 2021",T20
Essex,Somerset,Essex,6 wickets,Chelmsford,"Jun 29, 2021",T20
Bears,Yorkshire,Bears,10 wickets,Birmingham,"Jun 30, 2021",T20
Northants,Durham,Northants,30 runs,Northampton,"Jun 30, 2021",T20
Hampshire,Surrey,Surrey,20 runs,Southampton,"Jun 30, 2021",T20
Middlesex,Sussex,Middlesex,63 runs,Lord's,"Jul 1, 2021",T20
Gloucs,Somerset,Somerset,8 wickets,Bristol,"Jul 1, 2021",T20
Lancashire,WORCS,Lancashire,34 runs,Manchester,"Jul 1, 2021",T20
Notts,Leics,Notts,6 wickets,Nottingham,"Jul 1, 2021",T20
Essex,Glamorgan,Essex,8 wickets,Chelmsford,"Jul 1, 2021",T20
Bears,Notts,Notts,114 runs,Birmingham,"Jul 2, 2021",T20
Durham,Leics,Leics,8 wickets,Chester-le-Street,"Jul 2, 2021",T20
Glamorgan,Sussex,Sussex,33 runs,Cardiff,"Jul 2, 2021",T20
Somerset,Middlesex,Somerset,5 runs,Taunton,"Jul 2, 2021",T20
Yorkshire,Lancashire,Yorkshire,9 runs,Leeds,"Jul 2, 2021",T20
Derbyshire,WORCS,WORCS,14 runs,Derby,"Jul 2, 2021",T20
Hampshire,Gloucs,Hampshire,10 runs,Southampton,"Jul 2, 2021",T20
Kent,Surrey,Kent,11 runs,Canterbury,"Jul 2, 2021",T20
Gloucs,Middlesex,Gloucs,10 runs,Cheltenham,"Jul 9, 2021",T20
WORCS,Bears,WORCS,49 runs,Worcester,"Jul 9, 2021",T20
Durham,Derbyshire,Derbyshire,6 wickets,Chester-le-Street,"Jul 9, 2021",T20
Lancashire,Northants,Lancashire,8 wickets,Manchester,"Jul 9, 2021",T20
Notts,Yorkshire,Notts,10 wickets,Nottingham,"Jul 9, 2021",T20
Surrey,Kent,Kent,9 wickets,The Oval,"Jul 9, 2021",T20
Hampshire,Somerset,Hampshire,75 runs,Southampton,"Jul 9, 2021",T20
Sussex,Essex,Sussex,6 wickets,Hove,"Jul 9, 2021",T20
Hampshire,Essex,Hampshire,18 runs,Southampton,"Jul 16, 2021",T20
Gloucs,Surrey,Surrey,7 wickets,Cheltenham,"Jul 16, 2021",T20
Middlesex,Kent,Kent,77 runs,Lord's,"Jul 16, 2021",T20
Bears,WORCS,Bears,17 runs,Birmingham,"Jul 16, 2021",T20
Glamorgan,Somerset,Somerset,74 runs,Cardiff,"Jul 16, 2021",T20
Lancashire,Durham,Lancashire,6 runs,Manchester,"Jul 16, 2021",T20
Leics,Notts,Leics,2 wickets,Leicester,"Jul 16, 2021",T20
Hampshire,Sussex,Hampshire,6 wickets,Southampton,"Jul 16, 2021",T20
Lancashire,Yorkshire,Lancashire,4 wickets,Manchester,"Jul 17, 2021",T20
Bears,Northants,Bears,14 runs,Birmingham,"Jul 18, 2021",T20
Essex,Middlesex,Middlesex,9 runs,Chelmsford,"Jul 18, 2021",T20
Hampshire,Glamorgan,Hampshire,6 wickets,Southampton,"Jul 18, 2021",T20
Notts,Durham,Notts,78 runs,Nottingham,"Jul 18, 2021",T20
Kent,Sussex,Sussex,4 wickets,Canterbury,"Jul 18, 2021",T20
Leics,WORCS,Leics,7 wickets,Leicester,"Jul 18, 2021",T20
Somerset,Gloucs,Somerset,23 runs,Taunton,"Jul 18, 2021",T20
Yorkshire,Sussex,Sussex,5 wickets,Chester-le-Street,"Aug 24, 2021",T20
Notts,Hampshire,Hampshire,2 runs,Nottingham,"Aug 25, 2021",T20
Somerset,Lancashire,Somerset,7 wickets,Taunton,"Aug 26, 2021",T20
Kent,Bears,Kent,21 runs,Canterbury,"Aug 27, 2021",T20
Hampshire,Somerset,Somerset,2 wickets,Birmingham,"Sep 18, 2021",T20
Kent,Sussex,Kent,21 runs,Birmingham,"Sep 18, 2021",T20
Somerset,Kent,Kent,25 runs,Birmingham,"Sep 18, 2021",T20
Kent,Somerset,Somerset,8 wickets,Canterbury,"May 25, 2022",T20
Yorkshire,WORCS,Yorkshire,7 wickets,Leeds,"May 25, 2022",T20
Bears,Northants,Bears,125 runs,Birmingham,"May 26, 2022",T20
Leics,Durham,Durham,54 runs,Leicester,"May 26, 2022",T20
